#==================================================================
# OMERE 5.8.1.35459 - DISPLACEMENT DAMAGE DOSE AND EOL PERFORMANCE FOR SOLAR CELL DAMAGE : NRL 
# 
# File : C:\Users\Soheil\Documents\OMERE 5.8\solarcells.dat
# Creation : 2024/08/08    20:01:24
#
#==================================================================
# Start mission: 2024
# Lifetime: 15 year(s).
# Period during solar activity: 11.000000 year(s)
# Orbit data:
# Name :                                Orbit GEO
# Duration :                            15 year(s)
# Simple position segment
# Altitude :                            35784.000000km
# Longitude :                           0.000000°
# Latitude :                            0.000000°
# Trapped electrons: IGE 2006 Mean

# Trapped protons: AP9 Mean

# Solar protons: ESP
# Confidence level = 90.000000
# Number of active years: 11.000000

#=========== Environment ===========
# Cutoff model : Störmer
# Magnetospheric cutoff : Vertical
# Weather condition     : Quiet
# Earth shadow          : YES


#=========== Shielding Parameters ===========
# Back Shielding Thickness: Infinite
# Density: 2.699e+00 g/cm3
# Incidence:   Isotropic

#=========== Calculation Parameters ===========
# Cell Technology: GaAs/Ge 1J
# NIEL Material: GaAs
# Electrons C:  3.630e-01
#           Dx: 6.900e+09 MeV/g
#           n:  1.647e+00
# Protons   C:  2.904e-01
#           Dx: 1.100e+09 MeV/g
#           n:  1.000e+00

# Back Shielding: Infinite
# Coverglass ||             Displacement             ||       EOL      ||
# Thickness  ||             Damage Dose              ||   Performance  ||
#     (um)   ||              (MeV/g)                 ||      (%%)       ||
#            || Electrons  |  Protons   |   Total    ||                ||
#------------||------------|------------|------------||----------------||
  1.000e+02    2.734e+08    2.859e+09    3.133e+09       8.300e+01

#------------------------ INPUT ISOTROPIC FLUENCES ---------------------------#
# PROTONS FLUENCES
#   Energy    DIFFERENTIAL FLUENCE    INTEGRAL FLUENCE
#    MeV         MeV-1.cm-2                 cm-2      
      0.100     9.459e+15     9.501e+14    
      0.200     2.612e+15     3.465e+14    
      0.400     3.171e+14     5.366e+13    
      0.600     6.283e+13     1.566e+13    
      0.800     2.361e+13     7.017e+12    
      1.000     5.083e+12     4.150e+12    
      1.000     5.748e+12     4.148e+12    
      2.000     4.433e+11     9.951e+11    
      3.000     1.895e+11     6.403e+11    
      4.000     1.085e+11     4.921e+11    
      5.000     7.145e+10     4.032e+11    
      6.000     5.241e+10     3.402e+11    
      7.000     4.034e+10     2.947e+11    
      8.000     3.219e+10     2.590e+11    
     10.000     2.207e+10     2.088e+11    
     15.000     1.065e+10     1.313e+11    
     20.000     6.084e+09     9.090e+10    
     25.000     3.858e+09     6.654e+10    
     30.000     2.614e+09     5.068e+10    
     35.000     1.846e+09     3.961e+10    
     40.000     1.355e+09     3.176e+10    
     45.000     1.021e+09     2.580e+10    
     50.000     7.864e+08     2.138e+10    
     55.000     6.182e+08     1.782e+10    
     60.000     4.930e+08     1.513e+10    
     70.000     3.263e+08     1.105e+10    
     80.000     2.248e+08     8.388e+09    
     90.000     1.600e+08     6.436e+09    
    100.000     1.156e+08     5.121e+09    
    125.000     5.736e+07     3.062e+09    
    150.000     3.210e+07     1.978e+09    
    175.000     1.925e+07     1.354e+09    
    200.000     1.232e+07     9.660e+08    
    225.000     8.253e+06     7.142e+08    
    250.000     5.819e+06     5.397e+08    
    275.000     4.182e+06     4.166e+08    
    300.000     3.002e+06     3.268e+08    
    300.060     0.000e+00     0.000e+00    
    400.000     0.000e+00     0.000e+00    
    700.000     0.000e+00     0.000e+00    
   1200.000     0.000e+00     0.000e+00    
   2000.000     0.000e+00     0.000e+00    

# ELECTRONS FLUENCES
#   Energy    DIFFERENTIAL FLUENCE    INTEGRAL FLUENCE
#    MeV         MeV-1.cm-2                 cm-2      
      0.001     6.649e+19     3.269e+17    
      0.001     6.323e+19     3.215e+17    
      0.001     6.014e+19     3.158e+17    
      0.001     5.719e+19     3.100e+17    
      0.001     5.451e+19     3.039e+17    
      0.001     5.197e+19     2.976e+17    
      0.002     4.955e+19     2.910e+17    
      0.002     4.695e+19     2.842e+17    
      0.002     4.444e+19     2.772e+17    
      0.002     4.207e+19     2.699e+17    
